amt,lat,long,city_pop,merch_lat,merch_long,age,trans_hour,trans_day,trans_month,trans_dayofweek,merchant,category,gender,street,city,state,zip,job,is_fraud
4.592074,26.658443,-81.69571,10.086478,26.591951,-80.470604,86.0,21.0,7.0,12.0,0.0,fraud_Mraz-Herzog,kids_pets,M,671 Cynthia Key Suite 155,Springfield Gardens,FL,7711,Architect,1
4.5864925,37.507378,-80.78836,7.348767,37.223644,-80.778244,58.0,23.0,3.0,7.0,4.0,"fraud_Greenfelder, Bartoletti and Davis",health_fitness,F,583 Gray Creek,Naples,WV,84002,Commercial/residential surveyor,1
4.5667524,45.386906,-113.53042,4.2309766,45.755062,-113.10353,58.0,18.0,3.0,3.0,0.0,fraud_Cormier LLC,kids_pets,M,870 Rocha Drive,Thrall,AK,45860,Industrial buyer,1
4.420285,42.753754,-95.17848,4.954416,42.323708,-94.60977,94.0,1.0,7.0,11.0,6.0,"fraud_Swift, Bradtke and Marquardt",health_fitness,F,35440 Ryan Islands,Vienna,IA,81649,Management consultant,1
4.3918366,33.27456,-85.05864,10.06451,32.525906,-84.773384,37.0,22.0,29.0,9.0,0.0,fraud_Hermann-Gaylord,health_fitness,M,95793 Andrea Ville Suite 533,Cokeburg,GA,84003,Management consultant,1
4.4687204,36.87539,-80.73577,10.748327,36.980442,-80.91976,53.0,2.0,5.0,12.0,4.0,fraud_Brekke and Sons,entertainment,M,582 Rodriguez Wells,Loxahatchee,DC,66941,Animator,1
4.4253592,43.917976,-73.04062,5.746749,43.94045,-72.94788,55.0,22.0,20.0,11.0,4.0,"fraud_Boehm, Predovic and Reinger",misc_net,F,28812 Charles Mill Apt. 628,Heiskell,NH,64470,Minerals surveyor,1
4.418483,40.147926,-84.60166,6.0240498,39.00031,-85.254715,54.0,7.0,16.0,4.0,1.0,fraud_Volkman PLC,gas_transport,F,296 Maria Street,Reynolds,DC,13615,"Therapist, music",1
4.4116845,41.9961,-73.27988,5.598576,42.501976,-72.63814,83.0,22.0,18.0,6.0,1.0,fraud_Lesch Ltd,health_fitness,M,198 Candace Plaza,Sardis,VT,97375,Air cabin crew,1
4.6869054,44.120594,-71.35623,7.152722,43.81775,-70.75141,81.0,2.0,4.0,3.0,1.0,fraud_Bradtke PLC,home,F,43576 Kristina Islands,Ballwin,ME,47434,Media buyer,1
4.6962843,39.542755,-105.28734,12.089314,39.740356,-103.92292,69.0,2.0,13.0,4.0,0.0,"fraud_Schiller, Blanda and Johnson",grocery_pos,F,543 Mindy Oval,Colorado Springs,WA,97850,Professor Emeritus,1
4.6723614,39.467834,-86.67019,8.379294,39.42905,-86.4994,61.0,22.0,15.0,8.0,4.0,fraud_Stamm-Witting,home,F,554 Mcdonald Valley Apt. 539,Pikesville,IN,55046,"Psychotherapist, child",1
4.408001,44.85656,-113.73288,5.3294315,44.73227,-113.496956,60.0,3.0,26.0,7.0,4.0,"fraud_McLaughlin, Armstrong and Koepp",grocery_net,F,9443 Cynthia Court Apt. 038,Lolita,ID,13425,Hydrologist,1
4.5713434,38.853127,-117.484634,11.926596,39.44369,-117.532814,60.0,23.0,10.0,9.0,1.0,fraud_Berge LLC,health_fitness,M,376 Brown Courts,Lima,CA,84325,Film/video editor,1
4.5921135,44.171482,-73.55242,8.03538,44.418026,-74.02893,49.0,22.0,28.0,4.0,1.0,"fraud_Tromp, Kerluke and Glover",travel,F,5619 Mendoza Inlet,Meadville,VT,5084,Transport planner,1
4.601987,34.725292,-82.46269,8.257695,34.809574,-82.72197,51.0,3.0,9.0,2.0,6.0,fraud_Dietrich-Fadel,kids_pets,F,90662 Lewis Avenue,Rice,SC,44412,"Surveyor, minerals",1
4.639943,35.802345,-98.45427,5.852386,35.69104,-99.729225,46.0,1.0,7.0,7.0,6.0,fraud_Hills-Witting,travel,F,1250 Christopher Prairie Suite 016,Sheffield,OK,65354,Chartered accountant,1
4.5093336,41.178135,-72.491,8.826372,41.211315,-72.12477,69.0,22.0,2.0,5.0,3.0,"fraud_Swaniawski, Lowe and Robel",shopping_pos,M,6574 William Hill Apt. 375,Cascade Locks,MA,76834,Financial adviser,1
4.380524,42.616528,-101.896454,7.1674967,42.440765,-102.1448,41.0,23.0,4.0,11.0,4.0,"fraud_Harris, Gusikowski and Heaney",personal_care,F,20581 Pena Walks,Lake Jackson,SD,72524,Cabin crew,1
4.5852737,44.773994,-71.15146,7.736271,44.522945,-70.815346,60.0,22.0,10.0,6.0,0.0,fraud_Stamm-Witting,gas_transport,M,2851 Foster Shoals,South Hero,ME,10504,Quarry manager,1
4.4830823,40.229187,-106.796,6.1161504,40.81197,-106.740326,27.0,2.0,29.0,9.0,6.0,fraud_Auer-West,food_dining,F,477 Wheeler Burg,Bolton,WA,97132,Musician,1
4.6855254,36.48409,-113.22564,9.374965,36.298584,-113.50316,65.0,23.0,20.0,5.0,1.0,fraud_Ebert-Daugherty,misc_net,F,300 Hodge Loaf,Melville,NV,95629,Politician's assistant,1
4.4063234,32.779453,-97.20341,9.997315,33.02398,-96.75939,79.0,23.0,14.0,10.0,2.0,fraud_Jaskolski-Dibbert,personal_care,M,0582 Williams Isle Apt. 039,Delhi,TX,28412,Secondary school teacher,1
4.4759674,33.09859,-79.583885,11.847021,32.894207,-79.201965,45.0,23.0,28.0,7.0,6.0,fraud_Berge LLC,shopping_pos,M,66035 Benjamin Villages,Weeping Water,SC,18103,Interpreter,1
4.478834,29.685717,-82.70731,8.194588,29.63606,-82.70205,43.0,1.0,11.0,5.0,0.0,fraud_Heller-Langosh,shopping_pos,F,7202 Jeffrey Mills,Noonan,FL,35901,Contractor,1
4.431413,31.750086,-89.1117,12.445132,30.90002,-89.06039,37.0,18.0,11.0,3.0,0.0,"fraud_Stroman, Hudson and Erdman",grocery_pos,M,213 Gill Expressway,Stillwater,LA,64058,Aid worker,1
4.4151673,45.518585,-109.36714,7.5119195,45.54897,-109.61212,43.0,1.0,24.0,2.0,6.0,fraud_Kuvalis Ltd,personal_care,F,7955 Allen Orchard Apt. 336,Sula,MT,31046,"Designer, textile",1
4.4534163,43.813812,-108.0564,7.3935018,43.89788,-108.297615,68.0,22.0,20.0,2.0,3.0,"fraud_Monahan, Hermann and Johns",grocery_pos,M,923 Jordan Road,Jefferson,AK,54896,Dance movement psychotherapist,1
4.505456,36.728218,-82.12455,6.0032363,36.756138,-82.38077,57.0,3.0,3.0,5.0,4.0,fraud_Harris Inc,entertainment,M,27718 Mason Bypass,Brooklin,DC,32323,Software engineer,1
4.617859,41.212875,-72.57696,7.5385222,41.414192,-72.76116,35.0,23.0,11.0,11.0,0.0,fraud_Beer-Jast,travel,M,997 Cameron Meadow Apt. 980,Hills,NH,40336,Outdoor activities/education manager,1
4.50693,37.41739,-78.245895,7.9277616,37.310814,-77.307884,65.0,23.0,29.0,4.0,2.0,fraud_Thiel PLC,entertainment,M,117 Natasha Vista Suite 936,Malad City,VA,31329,"Geologist, engineering",1
4.477833,41.39941,-98.55546,8.4096775,41.449123,-98.317215,37.0,23.0,12.0,6.0,3.0,fraud_Leannon-Nikolaus,shopping_pos,M,137 Adam Dale,Oklahoma City,NE,30257,"Presenter, broadcasting",1
4.605564,38.62473,-119.925545,10.359924,37.181236,-123.2294,44.0,22.0,23.0,7.0,1.0,fraud_Vandervort-Funk,grocery_net,M,7452 Browning Port,Higganum,CA,76008,Health promotion specialist,1
4.6031256,43.929985,-71.96442,6.415625,43.775303,-72.33614,63.0,3.0,21.0,6.0,5.0,fraud_Stiedemann Inc,shopping_net,M,4725 Hurst Curve Apt. 634,Spencer,NH,95688,Chief Strategy Officer,1
4.479029,39.201454,-77.53468,10.881388,39.547195,-77.28708,44.0,3.0,20.0,7.0,0.0,fraud_Wisozk and Sons,shopping_pos,F,5783 Evan Roads Apt. 465,Churubusco,VA,1844,Civil Service administrator,1
4.426211,40.874268,-83.20833,6.287713,40.23717,-82.58268,36.0,11.0,20.0,3.0,2.0,"fraud_Harris, Gusikowski and Heaney",misc_net,M,6807 Jacob Skyway Apt. 331,Hedrick,OH,98233,"Psychologist, counselling",1
4.663069,40.273655,-78.68853,8.49259,40.14143,-79.12831,60.0,3.0,27.0,5.0,2.0,"fraud_Eichmann, Bogan and Rodriguez",home,M,16285 Jessica Lights,Roseland,RI,88355,Solicitor,1
4.563143,44.77024,-72.95549,8.942544,44.790176,-72.98069,40.0,23.0,15.0,5.0,2.0,fraud_Kozey-Kuhlman,health_fitness,F,4407 Lisa Course,Hovland,NH,55403,Writer,1
4.600746,38.911667,-81.27082,10.611689,38.830894,-80.73452,40.0,23.0,17.0,11.0,1.0,fraud_Crona and Sons,entertainment,F,502 Rice Plaza Apt. 979,Plainfield,WV,81005,Dealer,1
4.606441,41.509327,-78.99286,8.563416,41.520195,-78.88232,62.0,22.0,13.0,9.0,4.0,fraud_Reichel Inc,shopping_net,M,91745 Davis Crossing,North Washington,RI,56672,Company secretary,1
4.5964665,37.14536,-96.12793,11.351307,36.77046,-94.79655,58.0,21.0,26.0,11.0,1.0,fraud_Jast-McDermott,gas_transport,M,64965 Morris Hollow Suite 323,Aledo,OK,77007,"Education officer, community",1
4.6244464,42.01569,-108.677155,7.00402,41.931965,-109.04832,59.0,4.0,16.0,11.0,0.0,"fraud_Yost, Schamberger and Windler",misc_pos,M,27823 Andrew Underpass Suite 948,Lowell,WY,16839,Geoscientist,1
4.4198046,40.784294,-75.497406,9.164845,41.626156,-76.89797,90.0,10.0,29.0,7.0,6.0,fraud_Nolan-Williamson,gas_transport,F,87227 Tapia Burgs,South Hero,NJ,22853,Technical brewer,1
4.4399223,45.301937,-101.01915,5.116016,45.08329,-100.25888,88.0,2.0,22.0,2.0,4.0,fraud_Kuhn LLC,misc_net,F,75703 Hernandez Corner Suite 348,Orient,SD,70065,"Programmer, applications",1
4.4001274,32.160007,-86.81206,7.4956055,32.447384,-86.128395,49.0,21.0,27.0,9.0,6.0,fraud_Jast-McDermott,gas_transport,M,6778 Campos Field,Irvington,AL,49895,Ambulance person,1
