amt,lat,long,city_pop,merch_lat,merch_long,age,trans_hour,trans_day,trans_month,trans_dayofweek,merchant,category,gender,street,city,state,zip,job,is_fraud
79.31254,31.178368,-88.9825,11391.219,31.968058,-88.10227,70.0,22.0,3.0,10.0,6.0,"fraud_Little, Gutmann and Lynch",personal_care,M,5053 Bell Crescent Apt. 255,Prairie Creek,MS,62856,Multimedia programmer,1
81.81548,43.931774,-84.12184,2186.9453,43.80884,-84.75664,35.0,22.0,28.0,11.0,5.0,"fraud_Konopelski, Schneider and Hartmann",home,F,6911 Nicholas Keys Apt. 237,Barneveld,MI,47470,"Investment banker, operational",1
79.112885,35.57436,-89.966805,7242.1997,35.624863,-91.181755,30.0,15.0,11.0,4.0,3.0,fraud_Jakubowski Inc,kids_pets,M,05597 Michael Spurs,Leo,AR,32780,"Engineer, broadcasting (operations)",1
101.29775,37.75516,-75.325165,8277.055,37.528133,-74.930824,45.0,22.0,17.0,5.0,5.0,fraud_Nienow PLC,home,M,5569 Phillips Neck Apt. 003,Glen Rock,MD,98105,Financial trader,1
108.14752,40.245144,-112.60386,260.5488,40.251377,-111.900955,42.0,6.0,28.0,9.0,0.0,"fraud_Huel, Hammes and Witting",home,F,1911 Fisher Brook,Premier,UT,80436,Maintenance engineer,1
94.30799,34.984806,-87.227875,4831.559,33.82113,-85.624374,40.0,18.0,4.0,12.0,3.0,"fraud_Gottlieb, Considine and Schultz",health_fitness,F,50614 Kevin Point,De Queen,AL,15727,Biomedical scientist,1
108.22197,35.602547,-79.35531,8667.396,36.092556,-78.67153,30.0,22.0,5.0,7.0,6.0,"fraud_Ledner, Hartmann and Feest",food_dining,M,865 Thomas Village,Kirtland,NC,49705,Osteopath,1
97.5449,42.69593,-79.85871,19.77172,43.173668,-80.791374,55.0,23.0,7.0,8.0,5.0,fraud_Runolfsson and Sons,kids_pets,M,13956 Hughes Causeway Suite 124,Vinton,PA,21790,Radio producer,1
95.37909,37.54425,-82.24756,3844.2534,37.840332,-81.313705,69.0,22.0,7.0,3.0,3.0,fraud_Skiles-Ankunding,health_fitness,F,2076 Thomas Roads Suite 970,Odessa,NC,74536,"Pilot, airline",1
78.81121,38.822258,-80.59839,1948.9623,38.23447,-80.31513,72.0,23.0,11.0,11.0,0.0,fraud_Pacocha-O'Reilly,misc_net,F,671 Cynthia Key Suite 155,Ridge Spring,WV,82072,"Conservation officer, historic buildings",1
97.229355,30.516434,-81.95623,4474.2637,30.951809,-81.66421,46.0,21.0,5.0,6.0,4.0,fraud_Mraz-Herzog,kids_pets,M,9734 Beard Fields Suite 885,Delhi,GA,28412,"Nurse, children's",1
96.826935,44.597195,-112.18756,15036.127,44.30276,-111.46753,37.0,13.0,9.0,10.0,4.0,fraud_Bartoletti-Wunsch,grocery_net,F,897 Daugherty Mission,Ash Flat,ID,77327,Amenity horticulturist,1
98.618454,39.923653,-96.32977,12588.802,39.482716,-95.78418,72.0,0.0,27.0,3.0,6.0,fraud_Pfeffer LLC,gas_transport,F,9345 Spencer Junctions Suite 183,Lebanon,NE,2180,Insurance claims handler,1
85.28958,35.252594,-97.4719,203.95894,35.063385,-97.758446,48.0,23.0,6.0,4.0,6.0,fraud_Gerhold LLC,home,F,25961 Beverly Union Apt. 042,Desdemona,OK,13361,"Geologist, wellsite",1
89.289635,40.050957,-84.14544,728.4086,39.752075,-83.851166,83.0,7.0,8.0,8.0,4.0,fraud_Corwin-Collins,misc_net,M,10376 Bullock Rapid,Oakdale,OH,99783,Water engineer,1
98.77772,30.494968,-89.428246,10839.002,30.722698,-88.92874,85.0,21.0,11.0,7.0,5.0,fraud_Cruickshank-Mills,travel,F,3872 Matthew Skyway,Elizabeth,LA,20036,Theatre director,1
83.05584,40.823612,-75.717766,5898.9277,40.95635,-75.89006,58.0,3.0,19.0,3.0,3.0,fraud_Dibbert and Sons,travel,F,8969 Fuentes Station Apt. 291,Pleasant Hill,NJ,73559,"Production assistant, radio",1
102.69508,39.334248,-86.07395,5281.436,38.937286,-85.285225,37.0,0.0,26.0,1.0,6.0,fraud_McDermott-Weimann,grocery_pos,M,526 Stacy Walks,Henderson,IN,94558,Ambulance person,1
98.68488,43.726074,-70.142365,1418.2178,43.62658,-68.54964,62.0,22.0,5.0,6.0,2.0,"fraud_Mueller, Gerhold and Mueller",travel,M,974 Cindy Stream,Zavalla,ME,80138,Production manager,1
82.42216,42.590096,-73.15745,3108.6248,42.445076,-73.51213,48.0,3.0,28.0,2.0,6.0,fraud_Rutherford-Mertz,travel,F,502 Rice Plaza Apt. 979,Murfreesboro,MA,57439,"Engineer, technical sales",1
81.75508,42.3865,-93.31412,814.1242,42.134098,-93.12387,52.0,2.0,6.0,6.0,6.0,"fraud_Mueller, Gerhold and Mueller",travel,F,702 Tabitha Drive,Bellmore,WI,46702,"Surveyor, hydrographic",1
85.97606,44.76023,-109.637856,74.19061,44.595013,-108.995735,40.0,2.0,19.0,3.0,5.0,"fraud_Koss, Hansen and Lueilwitz",entertainment,F,147 Mckinney Run Apt. 743,Utica,WY,76566,Amenity horticulturist,1
86.78224,29.970823,-97.34676,26698.191,29.476269,-97.275246,47.0,23.0,7.0,8.0,4.0,fraud_Goyette Inc,shopping_pos,M,927 Cummings Manor Suite 318,Bowersville,TX,62970,Community education officer,1
81.00891,44.73337,-73.94566,6065.58,44.781216,-74.14305,55.0,23.0,22.0,7.0,2.0,"fraud_Harris, Gusikowski and Heaney",health_fitness,M,66035 Benjamin Villages,Aledo,VT,50598,Podiatrist,1
98.62016,34.35287,-106.43165,11497.367,34.406883,-106.26657,52.0,1.0,14.0,10.0,1.0,fraud_Leannon-Nikolaus,gas_transport,M,622 Robin Run Suite 764,Queenstown,NM,31305,Exhibition designer,1
97.52596,42.550076,-71.72755,6338.878,43.094334,-72.24,27.0,0.0,23.0,4.0,0.0,"fraud_Cronin, Kshlerin and Weber",health_fitness,F,8465 Reed Green Suite 559,University,MA,53120,Contractor,1
98.308846,37.158802,-75.45265,12655.3125,36.797947,-75.425026,56.0,23.0,27.0,11.0,4.0,fraud_Grimes LLC,kids_pets,F,22502 Baker Mount Suite 241,Lexington,MD,58579,"Engineer, materials",1
78.70134,44.872345,-74.29233,1766.1077,44.457188,-74.19922,30.0,22.0,14.0,4.0,1.0,fraud_Pouros-Conroy,misc_net,M,69459 Rachel Prairie Apt. 850,Mesa,VT,85173,Clinical cytogeneticist,1
92.65122,35.054916,-110.112785,497.82626,35.560104,-109.06315,55.0,1.0,18.0,5.0,5.0,fraud_Turcotte-Halvorson,misc_net,M,162 Jessica Row Apt. 072,Lahoma,NV,12460,Energy manager,1
